trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
480533,10:00:00,10:00:00,10035,1,,,,1
480533,10:02:00,10:02:00,27767,2,,,,1
480533,10:05:00,10:05:00,10038,3,,,,1
480533,10:11:00,10:11:00,10034,4,,,,1
480533,10:13:00,10:13:00,10041,5,,,,1
480533,10:15:00,10:15:00,10052,6,,,,1
480533,10:20:00,10:20:00,10071,7,,,,1
480533,10:22:00,10:22:00,10029,8,,,,1
480533,10:24:00,10:24:00,10065,9,,,,1
480533,10:31:00,10:31:00,12913,10,,,,1
480533,10:39:00,10:39:00,10037,11,,,,1
480533,10:41:00,10:41:00,10059,12,,,,1
480533,10:43:00,10:43:00,10042,13,,,,1
480533,10:44:00,10:44:00,10026,14,,,,1
480533,10:46:00,10:46:00,10061,15,,,,1
480533,10:49:00,10:49:00,10036,16,,,,1
480533,10:53:00,10:53:00,62662,17,,,,1
480533,10:58:00,10:58:00,10038,18,,,,1
480534,11:00:00,11:00:00,10035,1,,,,1
480534,11:02:00,11:02:00,27767,2,,,,1
480534,11:05:00,11:05:00,10038,3,,,,1
480534,11:11:00,11:11:00,10034,4,,,,1
480534,11:13:00,11:13:00,10041,5,,,,1
480534,11:15:00,11:15:00,10052,6,,,,1
480534,11:20:00,11:20:00,10071,7,,,,1
480534,11:22:00,11:22:00,10029,8,,,,1
480534,11:24:00,11:24:00,10065,9,,,,1
480534,11:31:00,11:31:00,12913,10,,,,1
480534,11:39:00,11:39:00,10037,11,,,,1
480534,11:41:00,11:41:00,10059,12,,,,1
480534,11:43:00,11:43:00,10042,13,,,,1
480534,11:44:00,11:44:00,10026,14,,,,1
480534,11:46:00,11:46:00,10061,15,,,,1
480534,11:49:00,11:49:00,10036,16,,,,1
480534,11:53:00,11:53:00,62662,17,,,,1
480534,11:58:00,11:58:00,10038,18,,,,1
480535,12:00:00,12:00:00,10035,1,,,,1
480535,12:02:00,12:02:00,27767,2,,,,1
480535,12:05:00,12:05:00,10038,3,,,,1
480535,12:11:00,12:11:00,10034,4,,,,1
480535,12:13:00,12:13:00,10041,5,,,,1
480535,12:15:00,12:15:00,10052,6,,,,1
480535,12:20:00,12:20:00,10071,7,,,,1
480535,12:22:00,12:22:00,10029,8,,,,1
480535,12:24:00,12:24:00,10065,9,,,,1
480535,12:31:00,12:31:00,12913,10,,,,1
480535,12:39:00,12:39:00,10037,11,,,,1
480535,12:41:00,12:41:00,10059,12,,,,1
480535,12:43:00,12:43:00,10042,13,,,,1
480535,12:44:00,12:44:00,10026,14,,,,1
480535,12:46:00,12:46:00,10061,15,,,,1
480535,12:49:00,12:49:00,10036,16,,,,1
480535,12:53:00,12:53:00,62662,17,,,,1
480535,12:58:00,12:58:00,10038,18,,,,1
480536,13:00:00,13:00:00,10035,1,,,,1
480536,13:02:00,13:02:00,27767,2,,,,1
480536,13:05:00,13:05:00,10038,3,,,,1
480536,13:11:00,13:11:00,10034,4,,,,1
480536,13:13:00,13:13:00,10041,5,,,,1
480536,13:15:00,13:15:00,10052,6,,,,1
480536,13:20:00,13:20:00,10071,7,,,,1
480536,13:22:00,13:22:00,10029,8,,,,1
480536,13:24:00,13:24:00,10065,9,,,,1
480536,13:31:00,13:31:00,12913,10,,,,1
480536,13:39:00,13:39:00,10037,11,,,,1
480536,13:41:00,13:41:00,10059,12,,,,1
480536,13:43:00,13:43:00,10042,13,,,,1
480536,13:44:00,13:44:00,10026,14,,,,1
480536,13:46:00,13:46:00,10061,15,,,,1
480536,13:49:00,13:49:00,10036,16,,,,1
480536,13:53:00,13:53:00,62662,17,,,,1
